Time,"tlm_mb_slot_0_current, mA, where 0 is 117, 1 is , 2 is 3.277, 3 is A, 4 is 96, 5 is 97, 6 is 115, 7 is 116, 8 is 105, 9 is 92, 10 is 106, 11 is 104, 12 is 98, 13 is 94, 14 is 93, 15 is 109, 16 is 91, 17 is 95, 18 is 99, 19 is 103, 20 is 101, 21 is 592, 22 is 1.083, 23 is 110, 24 is 100, 25 is 102, 26 is 107, 27 is 108, 28 is 90, 29 is 111"
2023-05-25 03:00:00,0 1
2023-05-25 03:00:00,2 3
2023-05-25 03:00:00,4 1
2023-05-25 03:00:00,4 1
2023-05-25 03:00:00,5 1
2023-05-25 03:00:00,4 1
2023-05-25 03:00:00,5 1
2023-05-25 03:00:00,4 1
2023-05-25 03:00:00,6 1
2023-05-25 03:00:00,7 1
2023-05-25 03:00:00,7 1
2023-05-25 03:00:00,6 1
2023-05-25 03:00:00,8 1
2023-06-27 03:00:00,9 1
2023-06-27 03:00:00,2 3
2023-06-27 03:00:00,10 1
2023-06-27 03:00:00,11 1
2023-06-27 03:00:00,10 1
2023-06-27 03:00:00,12 1
2023-06-27 03:00:00,11 1
2023-06-27 03:00:00,13 1
2023-06-27 03:00:00,14 1
2023-06-28 03:00:00,14 1
2023-06-28 03:00:00,15 1
2023-06-28 03:00:00,2 3
2023-06-28 03:00:00,5 1
2023-06-28 03:00:00,4 1
2023-06-28 03:00:00,13 1
2023-06-28 03:00:00,14 1
2023-06-28 03:00:00,16 1
2023-06-28 03:00:00,4 1
2023-06-28 03:00:00,14 1
2023-06-28 03:00:00,17 1
2023-06-28 03:00:00,13 1
2023-06-28 03:00:00,9 1
2023-06-28 03:00:00,18 1
2023-06-28 03:00:00,14 1
2023-06-28 03:00:00,15 1
2023-06-28 03:00:00,17 1
2023-06-28 03:00:00,19 1
2023-06-28 03:00:00,14 1
2023-06-28 03:00:00,17 1
2023-06-28 03:00:00,4 1
2023-06-28 03:00:00,13 1
2023-06-28 03:00:00,9 1
2023-06-28 03:00:00,12 1
2023-06-28 03:00:00,18 1
2023-06-29 03:00:00,2 3
2023-06-29 03:00:00,15 1
2023-06-29 03:00:00,15 1
2023-06-29 03:00:00,15 1
2023-06-29 03:00:00,9 1
2023-06-29 03:00:00,4 1
2023-06-29 03:00:00,5 1
2023-06-29 03:00:00,9 1
2023-06-29 03:00:00,14 1
2023-06-29 03:00:00,14 1
2023-06-29 03:00:00,20 1
2023-06-29 03:00:00,5 1
2023-06-29 03:00:00,14 1
2023-06-30 03:00:00,2 3
2023-06-30 03:00:00,4 1
2023-06-30 03:00:00,12 1
2023-06-30 03:00:00,14 1
2023-06-30 03:00:00,4 1
2023-06-30 03:00:00,5 1
2023-06-30 03:00:00,17 1
2023-06-30 03:00:00,14 1
2023-06-30 03:00:00,5 1
2023-06-30 03:00:00,18 1
2023-06-30 03:00:00,4 1
2023-06-30 03:00:00,9 1
2023-06-30 03:00:00,9 1
2023-06-30 03:00:00,9 1
2023-06-30 03:00:00,14 1
2023-06-30 03:00:00,4 1
2023-06-30 03:00:00,14 1
2023-06-30 03:00:00,21 1
2023-06-30 03:00:00,22 3
2023-06-30 03:00:00,13 1
2023-06-30 03:00:00,9 1
2023-06-30 03:00:00,14 1
2023-06-30 03:00:00,17 1
2023-06-30 03:00:00,4 1
2023-06-30 03:00:00,9 1
2023-06-30 03:00:00,14 1
2023-06-30 03:00:00,14 1
2023-06-30 03:00:00,14 1
2023-06-30 03:00:00,14 1
2023-06-30 03:00:00,5 1
2023-06-30 03:00:00,12 1
2023-06-30 03:00:00,17 1
2023-06-30 03:00:00,4 1
2023-06-30 03:00:00,5 1
2023-07-01 03:00:00,2 3
2023-07-01 03:00:00,14 1
2023-07-01 03:00:00,14 1
2023-07-01 03:00:00,18 1
2023-07-01 03:00:00,4 1
2023-07-01 03:00:00,13 1
2023-07-01 03:00:00,14 1
2023-07-01 03:00:00,5 1
2023-07-01 03:00:00,4 1
2023-07-01 03:00:00,13 1
2023-07-01 03:00:00,13 1
2023-07-01 03:00:00,13 1
2023-07-01 03:00:00,14 1
2023-07-01 03:00:00,5 1
2023-07-01 03:00:00,4 1
2023-07-01 03:00:00,5 1
2023-07-01 03:00:00,17 1
2023-07-01 03:00:00,5 1
2023-07-01 03:00:00,12 1
2023-07-01 03:00:00,4 1
2023-07-01 03:00:00,13 1
2023-07-02 03:00:00,2 3
2023-07-02 03:00:00,5 1
2023-07-02 03:00:00,17 1
2023-07-02 03:00:00,17 1
2023-07-02 03:00:00,5 1
2023-07-02 03:00:00,4 1
2023-07-02 03:00:00,4 1
2023-07-02 03:00:00,18 1
2023-07-02 03:00:00,14 1
2023-07-02 03:00:00,4 1
2023-07-02 03:00:00,4 1
2023-07-02 03:00:00,12 1
2023-07-03 03:00:00,2 3
2023-07-03 03:00:00,4 1
2023-07-03 03:00:00,13 1
2023-07-03 03:00:00,4 1
2023-07-03 03:00:00,13 1
2023-07-03 03:00:00,13 1
2023-07-03 03:00:00,4 1
2023-07-03 03:00:00,4 1
2023-07-03 03:00:00,13 1
2023-07-03 03:00:00,17 1
2023-07-03 03:00:00,20 1
2023-07-03 03:00:00,4 1
2023-07-03 03:00:00,23 1
2023-07-04 03:00:00,2 3
2023-07-04 03:00:00,5 1
2023-07-04 03:00:00,4 1
2023-07-04 03:00:00,13 1
2023-07-04 03:00:00,4 1
2023-07-04 03:00:00,17 1
2023-07-04 03:00:00,13 1
2023-07-05 03:00:00,17 1
2023-07-05 03:00:00,2 3
2023-07-05 03:00:00,13 1
2023-07-05 03:00:00,12 1
2023-07-05 03:00:00,4 1
2023-07-05 03:00:00,17 1
2023-07-05 03:00:00,13 1
2023-07-05 03:00:00,12 1
2023-07-05 03:00:00,5 1
2023-07-05 03:00:00,17 1
2023-07-05 03:00:00,17 1
2023-07-05 03:00:00,16 1
2023-07-05 03:00:00,12 1
2023-07-05 03:00:00,8 1
2023-07-06 03:00:00,14 1
2023-07-06 03:00:00,17 1
2023-07-06 03:00:00,5 1
2023-07-06 03:00:00,2 3
2023-07-06 03:00:00,17 1
2023-07-06 03:00:00,17 1
2023-07-06 03:00:00,13 1
2023-07-06 03:00:00,14 1
2023-07-06 03:00:00,5 1
2023-07-06 03:00:00,13 1
2023-07-06 03:00:00,4 1
2023-07-06 03:00:00,4 1
2023-07-06 03:00:00,12 1
2023-07-06 03:00:00,15 1
2023-07-07 03:00:00,2 3
2023-07-07 03:00:00,4 1
2023-07-07 03:00:00,17 1
2023-07-07 03:00:00,14 1
2023-07-07 03:00:00,13 1
2023-07-07 03:00:00,5 1
2023-07-07 03:00:00,12 1
2023-07-08 03:00:00,2 3
2023-07-08 03:00:00,17 1
2023-07-08 03:00:00,17 1
2023-07-09 03:00:00,5 1
2023-07-09 03:00:00,12 1
2023-07-09 03:00:00,2 3
2023-07-09 03:00:00,13 1
2023-07-09 03:00:00,17 1
2023-07-09 03:00:00,17 1
2023-07-09 03:00:00,17 1
2023-07-09 03:00:00,13 1
2023-07-09 03:00:00,17 1
2023-07-09 03:00:00,17 1
2023-07-09 03:00:00,4 1
2023-07-09 03:00:00,9 1
2023-07-09 03:00:00,4 1
2023-07-09 03:00:00,5 1
2023-07-09 03:00:00,13 1
2023-07-09 03:00:00,17 1
2023-07-10 03:00:00,2 3
2023-07-10 03:00:00,17 1
2023-07-10 03:00:00,14 1
2023-07-10 03:00:00,5 1
2023-07-10 03:00:00,4 1
2023-07-10 03:00:00,13 1
2023-07-10 03:00:00,14 1
2023-07-11 03:00:00,2 3
2023-07-11 03:00:00,12 1
2023-07-11 03:00:00,14 1
2023-07-11 03:00:00,5 1
2023-07-11 03:00:00,14 1
2023-07-11 03:00:00,14 1
2023-07-11 03:00:00,14 1
2023-07-11 03:00:00,15 1
2023-07-11 03:00:00,23 1
2023-07-12 03:00:00,4 1
2023-07-12 03:00:00,5 1
2023-07-12 03:00:00,4 1
2023-07-12 03:00:00,4 1
2023-07-12 03:00:00,2 3
2023-07-12 03:00:00,17 1
2023-07-12 03:00:00,13 1
2023-07-12 03:00:00,4 1
2023-07-12 03:00:00,13 1
2023-07-13 03:00:00,13 1
2023-07-13 03:00:00,17 1
2023-07-13 03:00:00,2 3
2023-07-13 03:00:00,4 1
2023-07-13 03:00:00,4 1
2023-07-13 03:00:00,4 1
2023-07-13 03:00:00,14 1
2023-07-13 03:00:00,13 1
2023-07-13 03:00:00,5 1
2023-07-13 03:00:00,12 1
2023-07-13 03:00:00,4 1
2023-07-14 03:00:00,2 3
2023-07-14 03:00:00,17 1
2023-07-14 03:00:00,17 1
2023-07-14 03:00:00,17 1
2023-07-14 03:00:00,15 1
2023-07-14 03:00:00,15 1
2023-07-14 03:00:00,24 1
2023-07-15 03:00:00,2 3
2023-07-15 03:00:00,10 1
2023-07-15 03:00:00,12 1
2023-07-15 03:00:00,4 1
2023-07-15 03:00:00,13 1
2023-07-15 03:00:00,4 1
2023-07-15 03:00:00,13 1
2023-07-15 03:00:00,15 1
2023-07-15 03:00:00,15 1
2023-07-15 03:00:00,5 1
2023-07-15 03:00:00,4 1
2023-07-16 03:00:00,2 3
2023-07-16 03:00:00,4 1
2023-07-16 03:00:00,5 1
2023-07-16 03:00:00,17 1
2023-07-16 03:00:00,13 1
2023-07-16 03:00:00,5 1
2023-07-16 03:00:00,13 1
2023-07-16 03:00:00,13 1
2023-07-16 03:00:00,5 1
2023-07-16 03:00:00,12 1
2023-07-16 03:00:00,15 1
2023-07-16 03:00:00,17 1
2023-07-16 03:00:00,10 1
2023-07-16 03:00:00,5 1
2023-07-16 03:00:00,13 1
2023-07-16 03:00:00,17 1
2023-07-16 03:00:00,4 1
2023-07-17 03:00:00,4 1
2023-07-17 03:00:00,5 1
2023-07-17 03:00:00,2 3
2023-07-17 03:00:00,17 1
2023-07-17 03:00:00,13 1
2023-07-17 03:00:00,12 1
2023-07-17 03:00:00,13 1
2023-07-17 03:00:00,13 1
2023-07-17 03:00:00,14 1
2023-07-17 03:00:00,13 1
2023-07-17 03:00:00,15 1
2023-07-17 03:00:00,13 1
2023-07-17 03:00:00,13 1
2023-07-17 03:00:00,4 1
2023-07-17 03:00:00,25 1
2023-07-17 03:00:00,4 1
2023-07-17 03:00:00,25 1
2023-07-17 03:00:00,4 1
2023-07-17 03:00:00,9 1
2023-07-17 03:00:00,5 1
2023-07-17 03:00:00,12 1
2023-07-18 03:00:00,2 3
2023-07-18 03:00:00,4 1
2023-07-18 03:00:00,4 1
2023-07-18 03:00:00,13 1
2023-07-18 03:00:00,17 1
2023-07-18 03:00:00,14 1
2023-07-18 03:00:00,13 1
2023-07-18 03:00:00,13 1
2023-07-18 03:00:00,5 1
2023-07-18 03:00:00,14 1
2023-07-18 03:00:00,13 1
2023-07-18 03:00:00,13 1
2023-07-18 03:00:00,13 1
2023-07-18 03:00:00,15 1
2023-07-18 03:00:00,15 1
2023-07-18 03:00:00,19 1
2023-07-18 03:00:00,17 1
2023-07-18 03:00:00,25 1
2023-07-19 03:00:00,14 1
2023-07-19 03:00:00,4 1
2023-07-19 03:00:00,13 1
2023-07-19 03:00:00,4 1
2023-07-19 03:00:00,2 3
2023-07-19 03:00:00,4 1
2023-07-19 03:00:00,14 1
2023-07-19 03:00:00,13 1
2023-07-19 03:00:00,18 1
2023-07-19 03:00:00,18 1
2023-07-19 03:00:00,15 1
2023-07-19 03:00:00,5 1
2023-07-19 03:00:00,4 1
2023-07-19 03:00:00,5 1
2023-07-19 03:00:00,15 1
2023-07-20 03:00:00,13 1
2023-07-20 03:00:00,17 1
2023-07-20 03:00:00,4 1
2023-07-20 03:00:00,12 1
2023-07-20 03:00:00,4 1
2023-07-20 03:00:00,2 3
2023-07-20 03:00:00,15 1
2023-07-20 03:00:00,15 1
2023-07-20 03:00:00,4 1
2023-07-20 03:00:00,4 1
2023-07-20 03:00:00,13 1
2023-07-20 03:00:00,5 1
2023-07-20 03:00:00,13 1
2023-07-20 03:00:00,14 1
2023-07-20 03:00:00,14 1
2023-07-20 03:00:00,17 1
2023-07-20 03:00:00,15 1
2023-07-20 03:00:00,15 1
2023-07-20 03:00:00,4 1
2023-07-20 03:00:00,4 1
2023-07-20 03:00:00,5 1
2023-07-20 03:00:00,13 1
2023-07-21 03:00:00,4 1
2023-07-21 03:00:00,4 1
2023-07-21 03:00:00,2 3
2023-07-21 03:00:00,12 1
2023-07-21 03:00:00,17 1
2023-07-21 03:00:00,14 1
2023-07-21 03:00:00,12 1
2023-07-21 03:00:00,5 1
2023-07-21 03:00:00,14 1
2023-07-21 03:00:00,13 1
2023-07-21 03:00:00,4 1
2023-07-21 03:00:00,13 1
2023-07-21 03:00:00,13 1
2023-07-21 03:00:00,13 1
2023-07-21 03:00:00,15 1
2023-07-22 03:00:00,2 3
2023-07-22 03:00:00,14 1
2023-07-22 03:00:00,14 1
2023-07-22 03:00:00,13 1
2023-07-22 03:00:00,17 1
2023-07-22 03:00:00,17 1
2023-07-22 03:00:00,4 1
2023-07-22 03:00:00,15 1
2023-07-22 03:00:00,4 1
2023-07-23 03:00:00,13 1
2023-07-23 03:00:00,2 3
2023-07-23 03:00:00,4 1
2023-07-23 03:00:00,13 1
2023-07-23 03:00:00,15 1
2023-07-23 03:00:00,4 1
2023-07-23 03:00:00,17 1
2023-07-23 03:00:00,13 1
2023-07-23 03:00:00,10 1
2023-07-23 03:00:00,13 1
2023-07-23 03:00:00,13 1
2023-07-24 03:00:00,13 1
2023-07-24 03:00:00,13 1
2023-07-24 03:00:00,2 3
2023-07-24 03:00:00,17 1
2023-07-24 03:00:00,13 1
2023-07-24 03:00:00,14 1
2023-07-24 03:00:00,14 1
2023-07-24 03:00:00,5 1
2023-07-24 03:00:00,5 1
2023-07-24 03:00:00,4 1
2023-07-24 03:00:00,15 1
2023-07-24 03:00:00,13 1
2023-07-24 03:00:00,5 1
2023-07-24 03:00:00,5 1
2023-07-24 03:00:00,13 1
2023-07-24 03:00:00,4 1
2023-07-24 03:00:00,14 1
2023-07-25 03:00:00,2 3
2023-07-25 03:00:00,17 1
2023-07-25 03:00:00,17 1
2023-07-25 03:00:00,17 1
2023-07-25 03:00:00,5 1
2023-07-25 03:00:00,17 1
2023-07-25 03:00:00,13 1
2023-07-25 03:00:00,12 1
2023-07-25 03:00:00,17 1
2023-07-26 03:00:00,2 3
2023-07-26 03:00:00,18 1
2023-07-26 03:00:00,5 1
2023-07-26 03:00:00,13 1
2023-07-26 03:00:00,4 1
2023-07-26 03:00:00,4 1
2023-07-26 03:00:00,14 1
2023-07-26 03:00:00,14 1
2023-07-26 03:00:00,4 1
2023-07-26 03:00:00,4 1
2023-07-26 03:00:00,13 1
2023-07-27 03:00:00,4 1
2023-07-27 03:00:00,13 1
2023-07-27 03:00:00,13 1
2023-07-27 03:00:00,2 3
2023-07-27 03:00:00,17 1
2023-07-27 03:00:00,4 1
2023-07-27 03:00:00,14 1
2023-07-27 03:00:00,13 1
2023-07-27 03:00:00,17 1
2023-07-27 03:00:00,15 1
2023-07-27 03:00:00,15 1
2023-07-27 03:00:00,12 1
2023-07-27 03:00:00,4 1
2023-07-27 03:00:00,24 1
2023-07-27 03:00:00,10 1
2023-07-27 03:00:00,13 1
2023-07-27 03:00:00,4 1
2023-07-27 03:00:00,4 1
2023-07-27 03:00:00,18 1
2023-07-27 03:00:00,4 1
2023-07-27 03:00:00,13 1
2023-07-28 03:00:00,2 3
2023-07-28 03:00:00,12 1
2023-07-28 03:00:00,4 1
2023-07-28 03:00:00,13 1
2023-07-28 03:00:00,12 1
2023-07-28 03:00:00,4 1
2023-07-28 03:00:00,5 1
2023-07-28 03:00:00,4 1
2023-07-28 03:00:00,23 1
2023-07-28 03:00:00,15 1
2023-07-28 03:00:00,10 1
2023-07-28 03:00:00,12 1
2023-07-28 03:00:00,5 1
2023-07-28 03:00:00,13 1
2023-07-29 03:00:00,2 3
2023-07-29 03:00:00,12 1
2023-07-29 03:00:00,13 1
2023-07-29 03:00:00,4 1
2023-07-29 03:00:00,4 1
2023-07-29 03:00:00,15 1
2023-07-29 03:00:00,15 1
2023-07-29 03:00:00,17 1
2023-07-29 03:00:00,10 1
2023-07-29 03:00:00,17 1
2023-07-30 03:00:00,17 1
2023-07-30 03:00:00,17 1
2023-07-30 03:00:00,2 3
2023-07-30 03:00:00,5 1
2023-07-30 03:00:00,4 1
2023-07-30 03:00:00,5 1
2023-07-30 03:00:00,5 1
2023-07-30 03:00:00,13 1
2023-07-30 03:00:00,13 1
2023-07-30 03:00:00,4 1
2023-07-31 03:00:00,2 3
2023-07-31 03:00:00,5 1
2023-07-31 03:00:00,4 1
2023-07-31 03:00:00,5 1
2023-07-31 03:00:00,5 1
2023-07-31 03:00:00,5 1
2023-07-31 03:00:00,14 1
2023-07-31 03:00:00,15 1
2023-07-31 03:00:00,15 1
2023-07-31 03:00:00,15 1
2023-07-31 03:00:00,5 1
2023-07-31 03:00:00,5 1
2023-07-31 03:00:00,4 1
2023-07-31 03:00:00,13 1
2023-08-01 03:00:00,4 1
2023-08-01 03:00:00,2 3
2023-08-01 03:00:00,13 1
2023-08-01 03:00:00,4 1
2023-08-01 03:00:00,15 1
2023-08-01 03:00:00,15 1
2023-08-01 03:00:00,17 1
2023-08-01 03:00:00,12 1
2023-08-01 03:00:00,17 1
2023-08-01 03:00:00,18 1
2023-08-01 03:00:00,24 1
2023-08-01 03:00:00,17 1
2023-08-02 03:00:00,2 3
2023-08-02 03:00:00,4 1
2023-08-02 03:00:00,23 1
2023-08-02 03:00:00,12 1
2023-08-02 03:00:00,4 1
2023-08-02 03:00:00,12 1
2023-08-02 03:00:00,13 1
2023-08-02 03:00:00,12 1
2023-08-02 03:00:00,4 1
2023-08-03 03:00:00,5 1
2023-08-03 03:00:00,10 1
2023-08-03 03:00:00,2 3
2023-08-03 03:00:00,17 1
2023-08-03 03:00:00,15 1
2023-08-03 03:00:00,12 1
2023-08-03 03:00:00,8 1
2023-08-04 03:00:00,2 3
2023-08-04 03:00:00,4 1
2023-08-04 03:00:00,5 1
2023-08-04 03:00:00,17 1
2023-08-04 03:00:00,17 1
2023-08-04 03:00:00,13 1
2023-08-04 03:00:00,4 1
2023-08-04 03:00:00,15 1
2023-08-04 03:00:00,17 1
2023-08-04 03:00:00,4 1
2023-08-04 03:00:00,12 1
2023-08-04 03:00:00,26 1
2023-08-04 03:00:00,18 1
2023-08-05 03:00:00,2 3
2023-08-05 03:00:00,17 1
2023-08-05 03:00:00,4 1
2023-08-05 03:00:00,15 1
2023-08-05 03:00:00,15 1
2023-08-05 03:00:00,12 1
2023-08-06 03:00:00,2 3
2023-08-06 03:00:00,4 1
2023-08-06 03:00:00,4 1
2023-08-06 03:00:00,10 1
2023-08-06 03:00:00,4 1
2023-08-06 03:00:00,17 1
2023-08-06 03:00:00,5 1
2023-08-06 03:00:00,12 1
2023-08-06 03:00:00,17 1
2023-08-06 03:00:00,12 1
2023-08-06 03:00:00,4 1
2023-08-07 03:00:00,17 1
2023-08-07 03:00:00,4 1
2023-08-07 03:00:00,2 3
2023-08-07 03:00:00,27 1
2023-08-07 03:00:00,5 1
2023-08-07 03:00:00,17 1
2023-08-07 03:00:00,17 1
2023-08-07 03:00:00,17 1
2023-08-08 03:00:00,2 3
2023-08-08 03:00:00,17 1
2023-08-08 03:00:00,4 1
2023-08-09 03:00:00,17 1
2023-08-09 03:00:00,2 3
2023-08-09 03:00:00,9 1
2023-08-09 03:00:00,12 1
2023-08-09 03:00:00,5 1
2023-08-09 03:00:00,4 1
2023-08-09 03:00:00,4 1
2023-08-09 03:00:00,5 1
2023-08-09 03:00:00,15 1
2023-08-09 03:00:00,13 1
2023-08-09 03:00:00,17 1
2023-08-09 03:00:00,4 1
2023-08-09 03:00:00,17 1
2023-08-09 03:00:00,4 1
2023-08-09 03:00:00,17 1
2023-08-10 03:00:00,27 1
2023-08-10 03:00:00,2 3
2023-08-10 03:00:00,17 1
2023-08-10 03:00:00,17 1
2023-08-10 03:00:00,12 1
2023-08-10 03:00:00,5 1
2023-08-10 03:00:00,13 1
2023-08-10 03:00:00,13 1
2023-08-10 03:00:00,13 1
2023-08-10 03:00:00,13 1
2023-08-10 03:00:00,15 1
2023-08-10 03:00:00,15 1
2023-08-10 03:00:00,15 1
2023-08-10 03:00:00,17 1
2023-08-10 03:00:00,17 1
2023-08-10 03:00:00,4 1
2023-08-10 03:00:00,17 1
2023-08-10 03:00:00,5 1
2023-08-10 03:00:00,16 1
2023-08-10 03:00:00,13 1
2023-08-10 03:00:00,17 1
2023-08-10 03:00:00,4 1
2023-08-10 03:00:00,17 1
2023-08-10 03:00:00,14 1
2023-08-10 03:00:00,10 1
2023-08-10 03:00:00,13 1
2023-08-10 03:00:00,5 1
2023-08-10 03:00:00,12 1
2023-08-11 03:00:00,2 3
2023-08-11 03:00:00,17 1
2023-08-11 03:00:00,5 1
2023-08-11 03:00:00,14 1
2023-08-11 03:00:00,4 1
2023-08-11 03:00:00,14 1
2023-08-11 03:00:00,14 1
2023-08-11 03:00:00,15 1
2023-08-11 03:00:00,15 1
2023-08-11 03:00:00,4 1
2023-08-11 03:00:00,15 1
2023-08-11 03:00:00,12 1
2023-08-11 03:00:00,4 1
2023-08-11 03:00:00,14 1
2023-08-11 03:00:00,12 1
2023-08-11 03:00:00,4 1
2023-08-11 03:00:00,17 1
2023-08-11 03:00:00,17 1
2023-08-12 03:00:00,2 3
2023-08-12 03:00:00,17 1
2023-08-12 03:00:00,14 1
2023-08-12 03:00:00,5 1
2023-08-12 03:00:00,17 1
2023-08-12 03:00:00,13 1
2023-08-12 03:00:00,14 1
2023-08-12 03:00:00,4 1
2023-08-12 03:00:00,13 1
2023-08-12 03:00:00,13 1
2023-08-12 03:00:00,17 1
2023-08-12 03:00:00,27 1
2023-08-12 03:00:00,15 1
2023-08-12 03:00:00,4 1
2023-08-12 03:00:00,5 1
2023-08-12 03:00:00,13 1
2023-08-12 03:00:00,16 1
2023-08-12 03:00:00,17 1
2023-08-12 03:00:00,17 1
2023-08-12 03:00:00,17 1
2023-08-12 03:00:00,16 1
2023-08-12 03:00:00,16 1
2023-08-12 03:00:00,14 1
2023-08-13 03:00:00,2 3
2023-08-13 03:00:00,17 1
2023-08-13 03:00:00,4 1
2023-08-13 03:00:00,12 1
2023-08-13 03:00:00,14 1
2023-08-13 03:00:00,13 1
2023-08-13 03:00:00,17 1
2023-08-13 03:00:00,13 1
2023-08-13 03:00:00,14 1
2023-08-13 03:00:00,13 1
2023-08-13 03:00:00,14 1
2023-08-13 03:00:00,13 1
2023-08-13 03:00:00,4 1
2023-08-13 03:00:00,9 1
2023-08-13 03:00:00,5 1
2023-08-13 03:00:00,15 1
2023-08-13 03:00:00,15 1
2023-08-13 03:00:00,17 1
2023-08-13 03:00:00,17 1
2023-08-13 03:00:00,4 1
2023-08-13 03:00:00,12 1
2023-08-13 03:00:00,16 1
2023-08-13 03:00:00,14 1
2023-08-13 03:00:00,9 1
2023-08-13 03:00:00,16 1
2023-08-13 03:00:00,14 1
2023-08-13 03:00:00,16 1
2023-08-13 03:00:00,9 1
2023-08-13 03:00:00,5 1
2023-08-13 03:00:00,12 1
2023-08-13 03:00:00,17 1
2023-08-14 03:00:00,2 3
2023-08-14 03:00:00,27 1
2023-08-14 03:00:00,15 1
2023-08-14 03:00:00,14 1
2023-08-14 03:00:00,14 1
2023-08-14 03:00:00,13 1
2023-08-14 03:00:00,9 1
2023-08-14 03:00:00,13 1
2023-08-14 03:00:00,5 1
2023-08-14 03:00:00,15 1
2023-08-14 03:00:00,4 1
2023-08-14 03:00:00,17 1
2023-08-14 03:00:00,17 1
2023-08-14 03:00:00,17 1
2023-08-14 03:00:00,17 1
2023-08-14 03:00:00,13 1
2023-08-14 03:00:00,16 1
2023-08-14 03:00:00,16 1
2023-08-14 03:00:00,16 1
2023-08-14 03:00:00,14 1
2023-08-15 03:00:00,15 1
2023-08-15 03:00:00,15 1
2023-08-15 03:00:00,15 1
2023-08-15 03:00:00,2 3
2023-08-15 03:00:00,13 1
2023-08-15 03:00:00,14 1
2023-08-15 03:00:00,16 1
2023-08-15 03:00:00,15 1
2023-08-15 03:00:00,17 1
2023-08-15 03:00:00,15 1
2023-08-15 03:00:00,13 1
2023-08-15 03:00:00,4 1
2023-08-15 03:00:00,14 1
2023-08-15 03:00:00,4 1
2023-08-15 03:00:00,4 1
2023-08-15 03:00:00,5 1
2023-08-15 03:00:00,5 1
2023-08-15 03:00:00,9 1
2023-08-15 03:00:00,16 1
2023-08-15 03:00:00,16 1
2023-08-15 03:00:00,4 1
2023-08-15 03:00:00,13 1
2023-08-15 03:00:00,5 1
2023-08-16 03:00:00,15 1
2023-08-16 03:00:00,15 1
2023-08-16 03:00:00,14 1
2023-08-16 03:00:00,4 1
2023-08-16 03:00:00,2 3
2023-08-16 03:00:00,14 1
2023-08-16 03:00:00,14 1
2023-08-16 03:00:00,17 1
2023-08-16 03:00:00,14 1
2023-08-16 03:00:00,17 1
2023-08-16 03:00:00,4 1
2023-08-16 03:00:00,4 1
2023-08-16 03:00:00,27 1
2023-08-16 03:00:00,4 1
2023-08-16 03:00:00,13 1
2023-08-16 03:00:00,5 1
2023-08-16 03:00:00,4 1
2023-08-16 03:00:00,17 1
2023-08-16 03:00:00,17 1
2023-08-16 03:00:00,17 1
2023-08-16 03:00:00,4 1
2023-08-16 03:00:00,17 1
2023-08-16 03:00:00,4 1
2023-08-16 03:00:00,9 1
2023-08-16 03:00:00,16 1
2023-08-16 03:00:00,16 1
2023-08-16 03:00:00,13 1
2023-08-17 03:00:00,2 3
2023-08-17 03:00:00,15 1
2023-08-17 03:00:00,4 1
2023-08-17 03:00:00,4 1
2023-08-17 03:00:00,15 1
2023-08-17 03:00:00,15 1
2023-08-17 03:00:00,15 1
2023-08-17 03:00:00,13 1
2023-08-17 03:00:00,14 1
2023-08-17 03:00:00,14 1
2023-08-17 03:00:00,14 1
2023-08-17 03:00:00,4 1
2023-08-17 03:00:00,12 1
2023-08-17 03:00:00,17 1
2023-08-17 03:00:00,13 1
2023-08-17 03:00:00,4 1
2023-08-17 03:00:00,14 1
2023-08-17 03:00:00,14 1
