Time,"MPPT X, where 0 is 0, 1 is Â°C, 2 is 1, 3 is 4, 4 is 12, 5 is 2, 6 is 5, 7 is 3, 8 is 7, 9 is 13, 10 is 6, 11 is 10, 12 is 9, 13 is 15, 14 is 8"
2021-08-17 03:00:00,0 1
2021-08-18 03:00:00,2 1
2021-08-19 03:00:00,0 1
2021-08-20 03:00:00,3 1
2021-08-21 03:00:00,0 1
2021-08-22 03:00:00,0 1
2021-08-23 03:00:00,0 1
2021-08-25 03:00:00,0 1
2021-08-26 03:00:00,0 1
2021-08-27 03:00:00,0 1
2021-08-28 03:00:00,0 1
2021-08-29 03:00:00,0 1
2021-08-30 03:00:00,0 1
2021-08-31 03:00:00,0 1
2021-09-01 03:00:00,0 1
2021-09-02 03:00:00,0 1
2021-09-03 03:00:00,0 1
2021-09-04 03:00:00,0 1
2021-09-05 03:00:00,0 1
2021-09-06 03:00:00,0 1
2021-09-08 03:00:00,0 1
2021-09-09 03:00:00,0 1
2021-09-10 03:00:00,0 1
2021-09-11 03:00:00,0 1
2021-09-12 03:00:00,0 1
2021-09-13 03:00:00,0 1
2021-09-14 03:00:00,0 1
2021-09-15 03:00:00,0 1
2021-09-16 03:00:00,0 1
2021-09-17 03:00:00,0 1
2021-09-18 03:00:00,0 1
2021-09-19 03:00:00,0 1
2021-09-20 03:00:00,0 1
2021-09-21 03:00:00,0 1
2021-09-22 03:00:00,0 1
2021-09-23 03:00:00,0 1
2021-09-24 03:00:00,0 1
2021-09-25 03:00:00,0 1
2021-09-26 03:00:00,0 1
2021-09-27 03:00:00,0 1
2021-09-28 03:00:00,0 1
2021-09-29 03:00:00,0 1
2021-09-30 03:00:00,0 1
2021-10-01 03:00:00,0 1
2021-10-04 03:00:00,4 1
2021-10-05 03:00:00,0 1
2021-10-06 03:00:00,0 1
2021-10-08 03:00:00,0 1
2021-10-09 03:00:00,2 1
2021-10-10 03:00:00,0 1
2021-10-11 03:00:00,3 1
2021-10-12 03:00:00,0 1
2021-10-13 03:00:00,2 1
2021-10-14 03:00:00,2 1
2021-10-15 03:00:00,0 1
2021-10-16 03:00:00,2 1
2021-10-17 03:00:00,0 1
2021-10-18 03:00:00,0 1
2021-10-19 03:00:00,2 1
2021-10-20 03:00:00,2 1
2021-10-21 03:00:00,3 1
2021-10-22 03:00:00,2 1
2021-10-23 03:00:00,2 1
2021-10-24 03:00:00,2 1
2021-10-25 03:00:00,2 1
2021-10-26 03:00:00,0 1
2021-10-27 03:00:00,2 1
2021-10-28 03:00:00,5 1
2021-10-29 03:00:00,2 1
2021-10-30 03:00:00,5 1
2021-10-31 03:00:00,2 1
2021-11-01 03:00:00,5 1
2021-11-02 03:00:00,2 1
2021-11-03 03:00:00,3 1
2021-11-04 03:00:00,2 1
2021-11-05 03:00:00,2 1
2021-11-06 03:00:00,2 1
2021-11-07 03:00:00,2 1
2021-11-08 03:00:00,5 1
2021-11-09 03:00:00,5 1
2021-11-10 03:00:00,5 1
2021-11-11 03:00:00,2 1
2021-11-12 03:00:00,5 1
2021-11-13 03:00:00,2 1
2021-11-14 03:00:00,2 1
2021-11-15 03:00:00,6 1
2021-11-16 03:00:00,3 1
2021-11-17 03:00:00,2 1
2021-11-18 03:00:00,6 1
2021-11-19 03:00:00,5 1
2021-11-21 03:00:00,7 1
2021-11-30 03:00:00,6 1
2021-12-01 03:00:00,7 1
2021-12-02 03:00:00,5 1
2021-12-03 03:00:00,2 1
2021-12-04 03:00:00,0 1
2021-12-05 03:00:00,5 1
2021-12-06 03:00:00,7 1
2021-12-07 03:00:00,7 1
2021-12-08 03:00:00,7 1
2021-12-09 03:00:00,5 1
2021-12-10 03:00:00,8 1
2021-12-11 03:00:00,7 1
2021-12-12 03:00:00,7 1
2021-12-15 03:00:00,5 1
2021-12-16 03:00:00,5 1
2021-12-17 03:00:00,3 1
2021-12-18 03:00:00,5 1
2021-12-19 03:00:00,5 1
2021-12-20 03:00:00,9 1
2021-12-21 03:00:00,7 1
2021-12-22 03:00:00,7 1
2021-12-23 03:00:00,7 1
2021-12-24 03:00:00,7 1
2021-12-25 03:00:00,7 1
2021-12-26 03:00:00,5 1
2021-12-27 03:00:00,5 1
2021-12-28 03:00:00,7 1
2021-12-29 03:00:00,7 1
2021-12-30 03:00:00,9 1
2021-12-31 03:00:00,5 1
2022-01-01 03:00:00,7 1
2022-01-02 03:00:00,7 1
2022-01-03 03:00:00,7 1
2022-01-04 03:00:00,7 1
2022-01-05 03:00:00,7 1
2022-01-06 03:00:00,5 1
2022-01-16 03:00:00,10 1
2022-01-17 03:00:00,10 1
2022-01-18 03:00:00,7 1
2022-01-19 03:00:00,7 1
2022-01-20 03:00:00,7 1
2022-01-21 03:00:00,7 1
2022-01-22 03:00:00,7 1
2022-01-23 03:00:00,5 1
2022-01-24 03:00:00,5 1
2022-01-25 03:00:00,5 1
2022-01-26 03:00:00,7 1
2022-01-27 03:00:00,10 1
2022-01-28 03:00:00,7 1
2022-01-29 03:00:00,5 1
2022-01-30 03:00:00,7 1
2022-01-31 03:00:00,5 1
2022-02-01 03:00:00,5 1
2022-02-02 03:00:00,7 1
2022-02-03 03:00:00,7 1
2022-02-04 03:00:00,7 1
2022-02-05 03:00:00,7 1
2022-02-06 03:00:00,7 1
2022-02-07 03:00:00,5 1
2022-02-08 03:00:00,5 1
2022-02-09 03:00:00,5 1
2022-02-10 03:00:00,5 1
2022-02-11 03:00:00,5 1
2022-02-12 03:00:00,5 1
2022-02-13 03:00:00,5 1
2022-02-14 03:00:00,5 1
2022-02-15 03:00:00,5 1
2022-02-16 03:00:00,5 1
2022-02-17 03:00:00,5 1
2022-02-18 03:00:00,7 1
2022-02-19 03:00:00,7 1
2022-02-20 03:00:00,7 1
2022-02-21 03:00:00,5 1
2022-02-22 03:00:00,5 1
2022-02-23 03:00:00,5 1
2022-02-24 03:00:00,5 1
2022-02-25 03:00:00,2 1
2022-02-26 03:00:00,5 1
2022-02-27 03:00:00,5 1
2022-02-28 03:00:00,5 1
2022-03-01 03:00:00,10 1
2022-03-02 03:00:00,5 1
2022-03-03 03:00:00,5 1
2022-03-04 03:00:00,5 1
2022-03-10 03:00:00,0 1
2022-03-11 03:00:00,2 1
2022-03-12 03:00:00,6 1
2022-03-13 03:00:00,7 1
2022-03-14 03:00:00,5 1
2022-03-15 03:00:00,5 1
2022-03-16 03:00:00,2 1
2022-03-17 03:00:00,2 1
2022-03-18 03:00:00,2 1
2022-03-19 03:00:00,5 1
2022-03-20 03:00:00,5 1
2022-03-21 03:00:00,2 1
2022-03-22 03:00:00,2 1
2022-03-23 03:00:00,2 1
2022-03-24 03:00:00,5 1
2022-03-25 03:00:00,2 1
2022-03-26 03:00:00,2 1
2022-03-27 03:00:00,2 1
2022-03-28 03:00:00,2 1
2022-03-29 03:00:00,2 1
2022-03-30 03:00:00,2 1
2022-03-31 03:00:00,2 1
2022-04-01 03:00:00,2 1
2022-04-02 03:00:00,2 1
2022-04-03 03:00:00,2 1
2022-04-04 03:00:00,5 1
2022-04-05 03:00:00,2 1
2022-04-06 03:00:00,2 1
2022-04-07 03:00:00,2 1
2022-04-08 03:00:00,2 1
2022-04-09 03:00:00,2 1
2022-04-10 03:00:00,2 1
2022-04-11 03:00:00,0 1
2022-04-12 03:00:00,11 1
2022-04-13 03:00:00,0 1
2022-04-14 03:00:00,2 1
2022-04-16 03:00:00,0 1
2022-04-17 03:00:00,0 1
2022-04-18 03:00:00,2 1
2022-04-19 03:00:00,0 1
2022-04-20 03:00:00,0 1
2022-04-21 03:00:00,0 1
2022-04-22 03:00:00,0 1
2022-04-23 03:00:00,0 1
2022-04-27 03:00:00,0 1
2022-04-28 03:00:00,0 1
2022-04-29 03:00:00,0 1
2022-04-30 03:00:00,0 1
2022-05-01 03:00:00,0 1
2022-05-02 03:00:00,0 1
2022-05-05 03:00:00,0 1
2022-05-06 03:00:00,2 1
2022-05-07 03:00:00,2 1
2022-05-08 03:00:00,0 1
2022-05-09 03:00:00,0 1
2022-05-10 03:00:00,0 1
2022-05-11 03:00:00,0 1
2022-05-12 03:00:00,0 1
2022-05-13 03:00:00,0 1
2022-05-14 03:00:00,0 1
2022-05-15 03:00:00,0 1
2022-05-16 03:00:00,0 1
2022-05-17 03:00:00,0 1
2022-05-18 03:00:00,0 1
2022-05-19 03:00:00,2 1
2022-05-20 03:00:00,0 1
2022-05-21 03:00:00,0 1
2022-05-22 03:00:00,0 1
2022-05-23 03:00:00,0 1
2022-05-24 03:00:00,11 1
2022-05-25 03:00:00,0 1
2022-05-26 03:00:00,10 1
2022-05-27 03:00:00,11 1
2022-05-29 03:00:00,6 1
2022-05-30 03:00:00,6 1
2022-05-31 03:00:00,12 1
2022-06-13 03:00:00,5 1
2022-06-14 03:00:00,6 1
2022-06-15 03:00:00,0 1
2022-06-16 03:00:00,0 1
2022-06-17 03:00:00,3 1
2022-06-18 03:00:00,3 1
2022-06-19 03:00:00,8 1
2022-06-20 03:00:00,5 1
2022-06-21 03:00:00,0 1
2022-06-22 03:00:00,0 1
2022-06-23 03:00:00,8 1
2022-06-24 03:00:00,7 1
2022-06-26 03:00:00,0 1
2022-06-27 03:00:00,7 1
2022-06-28 03:00:00,5 1
2022-06-29 03:00:00,2 1
2022-06-30 03:00:00,0 1
2022-07-01 03:00:00,7 1
2022-07-02 03:00:00,3 1
2022-07-03 03:00:00,0 1
2022-07-04 03:00:00,7 1
2022-07-05 03:00:00,7 1
2022-07-06 03:00:00,3 1
2022-07-08 03:00:00,0 1
2022-07-09 03:00:00,0 1
2022-07-25 03:00:00,3 1
2022-07-26 03:00:00,0 1
2022-07-27 03:00:00,2 1
2022-07-28 03:00:00,0 1
2022-07-31 03:00:00,0 1
2022-08-01 03:00:00,0 1
2022-08-02 03:00:00,0 1
2022-08-06 03:00:00,0 1
2022-08-08 03:00:00,0 1
2022-08-09 03:00:00,0 1
2022-08-25 03:00:00,0 1
2022-08-26 03:00:00,0 1
2022-08-27 03:00:00,0 1
2022-08-28 03:00:00,0 1
2022-08-29 03:00:00,0 1
2022-08-30 03:00:00,0 1
2022-08-31 03:00:00,0 1
2022-09-01 03:00:00,0 1
2022-09-02 03:00:00,0 1
2022-09-03 03:00:00,0 1
2022-09-04 03:00:00,0 1
2022-09-05 03:00:00,0 1
2022-09-19 03:00:00,13 1
2022-10-11 03:00:00,7 1
2022-10-15 03:00:00,7 1
2022-10-18 03:00:00,5 1
2022-12-08 03:00:00,12 1
2022-12-09 03:00:00,14 1
2022-12-10 03:00:00,8 1
2022-12-11 03:00:00,7 1
2022-12-12 03:00:00,7 1
2022-12-13 03:00:00,7 1
2022-12-14 03:00:00,7 1
2022-12-15 03:00:00,7 1
2022-12-16 03:00:00,7 1
2022-12-18 03:00:00,3 1
2022-12-19 03:00:00,7 1
2022-12-20 03:00:00,8 1
2022-12-21 03:00:00,7 1
2022-12-22 03:00:00,9 1
2022-12-23 03:00:00,9 1
2022-12-24 03:00:00,7 1
2022-12-25 03:00:00,7 1
2022-12-26 03:00:00,3 1
2022-12-27 03:00:00,3 1
2022-12-28 03:00:00,3 1
2022-12-29 03:00:00,3 1
2022-12-30 03:00:00,7 1
2022-12-31 03:00:00,7 1
2023-01-01 03:00:00,7 1
2023-01-02 03:00:00,7 1
2023-01-03 03:00:00,3 1
2023-01-04 03:00:00,5 1
2023-01-05 03:00:00,3 1
2023-01-06 03:00:00,3 1
2023-01-11 03:00:00,7 1
2023-03-19 03:00:00,5 1
2023-03-20 03:00:00,5 1
2023-03-21 03:00:00,5 1
2023-03-22 03:00:00,2 1
2023-03-23 03:00:00,2 1
2023-03-24 03:00:00,5 1
2023-03-25 03:00:00,5 1
2023-03-26 03:00:00,2 1
2023-03-27 03:00:00,5 1
2023-03-28 03:00:00,5 1
2023-03-29 03:00:00,5 1
2023-03-30 03:00:00,2 1
2023-03-31 03:00:00,7 1
2023-04-01 03:00:00,0 1
2023-04-02 03:00:00,5 1
2023-04-03 03:00:00,5 1
2023-07-25 03:00:00,11 1
2023-09-08 03:00:00,2 1
2023-09-29 03:00:00,5 1
2023-09-30 03:00:00,5 1
2023-10-01 03:00:00,5 1
2023-10-02 03:00:00,5 1
2023-10-03 03:00:00,5 1
2023-10-04 03:00:00,5 1
2023-10-05 03:00:00,5 1
2023-10-06 03:00:00,5 1
2023-10-07 03:00:00,7 1
2023-10-08 03:00:00,5 1
2023-10-09 03:00:00,5 1
2023-10-10 03:00:00,5 1
2023-10-11 03:00:00,5 1
2023-10-12 03:00:00,5 1
2023-10-13 03:00:00,5 1
2023-11-04 03:00:00,3 1
2023-11-05 03:00:00,5 1
2023-11-06 03:00:00,2 1
2023-11-07 03:00:00,7 1
2023-11-08 03:00:00,5 1
2023-11-09 03:00:00,7 1
2023-11-10 03:00:00,6 1
2023-11-11 03:00:00,7 1
2023-11-12 03:00:00,5 1
2023-11-13 03:00:00,10 1
2023-11-14 03:00:00,10 1
2023-11-15 03:00:00,2 1
2023-11-16 03:00:00,6 1
2023-11-17 03:00:00,7 1
2023-11-18 03:00:00,7 1
2023-11-19 03:00:00,7 1
2023-11-20 03:00:00,7 1
2023-11-21 03:00:00,7 1
2023-11-22 03:00:00,7 1
2023-11-23 03:00:00,7 1
2023-11-24 03:00:00,7 1
2023-11-25 03:00:00,7 1
2023-11-26 03:00:00,8 1
2023-11-27 03:00:00,7 1
2023-11-28 03:00:00,8 1
2023-11-29 03:00:00,7 1
2023-11-30 03:00:00,7 1
2023-12-01 03:00:00,3 1
2023-12-02 03:00:00,8 1
2023-12-03 03:00:00,3 1
2023-12-04 03:00:00,5 1
2023-12-05 03:00:00,14 1
2023-12-06 03:00:00,7 1
2023-12-07 03:00:00,3 1
2023-12-08 03:00:00,8 1
2023-12-09 03:00:00,7 1
2023-12-10 03:00:00,3 1
2023-12-11 03:00:00,7 1
2023-12-12 03:00:00,7 1
