"Time","44878.mode"
2019-12-12 03:00:00,97237
2019-12-19 03:00:00,314557
2019-12-26 03:00:00,2452331
2020-01-02 03:00:00,28595504
2020-01-09 03:00:00,50355235
2020-01-16 03:00:00,1960733
2020-01-23 03:00:00,10478666
2020-01-30 03:00:00,248339703
2020-02-06 03:00:00,272936386
2020-02-13 03:00:00,73867595
2020-02-20 03:00:00,184661821
2020-02-27 03:00:00,36362118
2020-03-05 03:00:00,118618733
2020-03-12 03:00:00,248560061
2020-03-19 03:00:00,361848246
2020-03-26 03:00:00,176862601
2020-04-02 03:00:00,269674442
2020-04-09 03:00:00,370719268
2020-04-16 03:00:00,415289859
2020-04-23 03:00:00,4425557
2020-04-30 03:00:00,15911152
2020-05-07 03:00:00,31046071
2020-05-14 03:00:00,37795061
2020-05-21 03:00:00,46061082
2020-05-28 03:00:00,157521146
2020-06-04 03:00:00,177470209
2020-06-11 03:00:00,15039293
2020-06-18 03:00:00,21811330
2020-06-25 03:00:00,42080568
2020-07-02 03:00:00,39293343
2020-07-09 03:00:00,60033112
2020-07-16 03:00:00,934874
2020-07-23 03:00:00,54475975
2020-07-30 03:00:00,8406040
2020-08-06 03:00:00,40236906
2020-08-13 03:00:00,9049906
2020-08-20 03:00:00,2168321
2020-08-27 03:00:00,17668719
2020-09-03 03:00:00,22644712
2020-09-10 03:00:00,1483221
2020-09-17 03:00:00,68295980
2020-09-24 03:00:00,5664103
2020-10-01 03:00:00,115704
2020-10-08 03:00:00,6245521
2020-10-15 03:00:00,21126082
2020-10-22 03:00:00,32410591
2020-10-29 03:00:00,4014850
2020-11-05 03:00:00,34029509
2020-11-12 03:00:00,214790
2020-11-19 03:00:00,33453263
2020-11-26 03:00:00,16712310
2020-12-03 03:00:00,44747168
2020-12-10 03:00:00,77360051
2020-12-17 03:00:00,28129861
2020-12-24 03:00:00,34008002
2020-12-31 03:00:00,139928205
2021-01-07 03:00:00,2833545
2021-01-14 03:00:00,36284
2021-01-21 03:00:00,9660447
2021-01-28 03:00:00,1690770
2021-02-04 03:00:00,3169328
2021-02-11 03:00:00,6898528
2021-02-18 03:00:00,16214956
2021-02-25 03:00:00,18220652
2021-03-04 03:00:00,11226
2021-03-11 03:00:00,4230
2021-03-18 03:00:00,4700
2021-03-25 03:00:00,4794
2021-04-01 03:00:00,4700
2021-04-08 03:00:00,4512
2021-04-15 03:00:00,4136
2021-04-22 03:00:00,4700
2021-04-29 03:00:00,4512
2021-05-06 03:00:00,4888
2021-05-13 03:00:00,4700
2021-05-20 03:00:00,4700
2021-05-27 03:00:00,4042
2021-06-03 03:00:00,4418
2021-06-10 03:00:00,5076
2021-06-17 03:00:00,3008
2021-06-24 03:00:00,25192
2021-07-01 03:00:00,15134
2021-07-08 03:00:00,3359768
2021-07-15 03:00:00,5366203
2021-07-22 03:00:00,189403
2021-07-29 03:00:00,6082600
2021-08-05 03:00:00,15980
2021-08-12 03:00:00,2676266
2021-08-19 03:00:00,15228
2021-08-26 03:00:00,221464
2021-09-02 03:00:00,650010
2021-09-09 03:00:00,111296
2021-09-16 03:00:00,13456547
2021-09-23 03:00:00,257866
2021-09-30 03:00:00,747112
2021-10-07 03:00:00,1268395
2021-10-14 03:00:00,142455
2021-10-21 03:00:00,1276403
2021-10-28 03:00:00,21295389
2021-11-04 03:00:00,697430
2021-11-11 03:00:00,1486976
2021-11-18 03:00:00,418814
2021-11-25 03:00:00,2934604
2021-12-02 03:00:00,3111980
2021-12-09 03:00:00,3537420
2021-12-16 03:00:00,57904
2021-12-23 03:00:00,5076
2021-12-30 03:00:00,130378
2022-01-06 03:00:00,468060
2022-01-13 03:00:00,1554158
2022-01-20 03:00:00,4248205
2022-01-27 03:00:00,4388005
2022-02-03 03:00:00,4885289
2022-02-10 03:00:00,307286
2022-02-17 03:00:00,506284
2022-02-24 03:00:00,8375075
2022-03-03 03:00:00,16920
2022-03-10 03:00:00,7144
2022-03-17 03:00:00,6580
2022-03-24 03:00:00,48974
2022-03-31 03:00:00,122858
2022-04-07 03:00:00,604608
2022-04-14 03:00:00,235470
2022-04-21 03:00:00,253424
2022-04-28 03:00:00,16544
2022-05-05 03:00:00,17954
2022-05-12 03:00:00,124926
2022-05-19 03:00:00,29516
2022-05-26 03:00:00,18048
2022-06-02 03:00:00,532510
2022-06-09 03:00:00,96726
2022-06-16 03:00:00,90842
2022-06-23 03:00:00,461779
2022-06-30 03:00:00,4768291
2022-07-07 03:00:00,12856
2022-07-14 03:00:00,538534
2022-07-21 03:00:00,79699
2022-07-28 03:00:00,325713
2022-08-04 03:00:00,478369
2022-08-11 03:00:00,1670193
2022-08-18 03:00:00,1707535
2022-08-25 03:00:00,1849287
2022-09-01 03:00:00,48128
2022-09-08 03:00:00,16074
2022-09-15 03:00:00,936702
2022-09-22 03:00:00,1498751
2022-09-29 03:00:00,397150
2022-10-06 03:00:00,264422
2022-10-13 03:00:00,347142
2022-10-20 03:00:00,1525902
2022-10-27 03:00:00,1915626
2022-11-03 03:00:00,60066
2022-11-10 03:00:00,48786
2022-11-17 03:00:00,695972
2022-11-24 03:00:00,194674
2022-12-01 03:00:00,463608
2022-12-08 03:00:00,36848
2022-12-15 03:00:00,2372413
2022-12-22 03:00:00,112142
2022-12-29 03:00:00,79054
2023-01-05 03:00:00,141470
2023-01-12 03:00:00,90616
2023-01-19 03:00:00,288392
2023-01-26 03:00:00,2203014
2023-02-02 03:00:00,3473526
2023-02-09 03:00:00,1407380
2023-02-16 03:00:00,906066
2023-02-23 03:00:00,100486
2023-03-02 03:00:00,1439516
2023-03-09 03:00:00,1501462
2023-03-16 03:00:00,477083
2023-03-23 03:00:00,901963
2023-03-30 03:00:00,27072
2023-04-06 03:00:00,109792
2023-04-13 03:00:00,438604
2023-04-20 03:00:00,105186
2023-04-27 03:00:00,746513
2023-05-04 03:00:00,6858050
2023-05-11 03:00:00,869569
2023-05-18 03:00:00,2673251
2023-05-25 03:00:00,6723530
2023-06-01 03:00:00,893196
2023-06-08 03:00:00,430619
2023-06-15 03:00:00,108871
2023-06-22 03:00:00,3244392
2023-06-29 03:00:00,1071015
2023-07-06 03:00:00,167043
2023-07-13 03:00:00,2730202
2023-07-20 03:00:00,35953
2023-07-27 03:00:00,277161
2023-08-03 03:00:00,1266021
2023-08-10 03:00:00,193333
2023-08-17 03:00:00,557173
2023-08-24 03:00:00,35741237
2023-08-31 03:00:00,36300
2023-09-07 03:00:00,567070
2023-09-14 03:00:00,13348
2023-09-21 03:00:00,5076
2023-09-28 03:00:00,29234
2023-10-05 03:00:00,68275
2023-10-12 03:00:00,52907
2023-10-19 03:00:00,555144
2023-10-26 03:00:00,429813
2023-11-02 03:00:00,118389
2023-11-09 03:00:00,59111
2023-11-16 03:00:00,28431
2023-11-23 03:00:00,909801
2023-11-30 03:00:00,851121
2023-12-07 03:00:00,12505
2023-12-14 03:00:00,251199
2023-12-21 03:00:00,2312855
2023-12-28 03:00:00,3130809
2024-01-04 03:00:00,652347
2024-01-11 03:00:00,963457
2024-01-18 03:00:00,272410
2024-01-25 03:00:00,1295453
2024-02-01 03:00:00,1515104

