Time,44878.mode
2019-12-12 03:00:00,117546
2019-12-19 03:00:00,125499
2019-12-26 03:00:00,176553
2020-01-02 03:00:00,333580
2020-01-09 03:00:00,469586
2020-01-16 03:00:00,513111
2020-01-23 03:00:00,616289
2020-01-30 03:00:00,1783845
2020-02-06 03:00:00,1945843
2020-02-13 03:00:00,2393102
2020-02-20 03:00:00,2974447
2020-02-27 03:00:00,3221150
2020-03-05 03:00:00,3634713
2020-03-12 03:00:00,4327142
2020-03-19 03:00:00,4895359
2020-03-26 03:00:00,5855534
2020-04-02 03:00:00,6364960
2020-04-09 03:00:00,6896543
2020-04-16 03:00:00,7131384
2020-04-23 03:00:00,7426585
2020-04-30 03:00:00,7886034
2020-05-07 03:00:00,7972125
2020-05-14 03:00:00,8011262
2020-05-21 03:00:00,8346568
2020-05-28 03:00:00,8966517
2020-06-04 03:00:00,9084394
2020-06-11 03:00:00,9248303
2020-06-18 03:00:00,9295980
2020-06-25 03:00:00,9416890
2020-07-02 03:00:00,9805452
2020-07-09 03:00:00,9922117
2020-07-16 03:00:00,10182157
2020-07-23 03:00:00,10530035
2020-07-30 03:00:00,10638582
2020-08-06 03:00:00,10840378
2020-08-13 03:00:00,10967987
2020-08-20 03:00:00,11171053
2020-08-27 03:00:00,11454589
2020-09-03 03:00:00,11483023
2020-09-10 03:00:00,11946690
2020-09-17 03:00:00,12541017
2020-09-24 03:00:00,12701972
2020-10-01 03:00:00,12891087
2020-10-08 03:00:00,12994895
2020-10-15 03:00:00,13143602
2020-10-22 03:00:00,13222266
2020-10-29 03:00:00,13288525
2020-11-05 03:00:00,13475175
2020-11-12 03:00:00,13627903
2020-11-19 03:00:00,13839764
2020-11-26 03:00:00,14045582
2020-12-03 03:00:00,14218166
2020-12-10 03:00:00,14425477
2020-12-17 03:00:00,14662995
2020-12-24 03:00:00,14703492
2020-12-31 03:00:00,15369362
2021-01-07 03:00:00,15612595
2021-01-14 03:00:00,15645264
2021-01-21 03:00:00,15832256
2021-01-28 03:00:00,15875128
2021-02-04 03:00:00,15951741
2021-02-11 03:00:00,16024931
2021-02-18 03:00:00,16094240
2021-02-25 03:00:00,16216098
2021-03-04 03:00:00,16274652
2021-03-11 03:00:00,16333700
2021-03-18 03:00:00,16338013
2021-03-25 03:00:00,16349850
2021-04-01 03:00:00,16362895
2021-04-08 03:00:00,16366096
2021-04-15 03:00:00,16369472
2021-04-22 03:00:00,16383544
2021-04-29 03:00:00,16385141
2021-05-06 03:00:00,16441633
2021-05-13 03:00:00,16459190
2021-05-20 03:00:00,16462076
2021-05-27 03:00:00,16653303
2021-06-03 03:00:00,16661391
2021-06-10 03:00:00,16678033
2021-06-17 03:00:00,16680666
2021-06-24 03:00:00,16685385
2021-07-01 03:00:00,16686725
2021-07-08 03:00:00,16711454
2021-07-15 03:00:00,16743979
2021-07-22 03:00:00,16747435
2021-07-29 03:00:00,16793840
2021-08-05 03:00:00,16810954
2021-08-12 03:00:00,16879143
2021-08-19 03:00:00,16881235
2021-08-26 03:00:00,16884093
2021-09-02 03:00:00,16888652
2021-09-09 03:00:00,16897434
2021-09-16 03:00:00,16979851
2021-09-23 03:00:00,17016755
2021-09-30 03:00:00,17031027
2021-10-07 03:00:00,17049176
2021-10-14 03:00:00,17076573
2021-10-21 03:00:00,17085604
2021-10-28 03:00:00,17208859
2021-11-04 03:00:00,17373214
2021-11-11 03:00:00,17381288
2021-11-18 03:00:00,17388579
2021-11-25 03:00:00,17410381
2021-12-02 03:00:00,17411742
2021-12-09 03:00:00,17416262
2021-12-16 03:00:00,17419828
2021-12-23 03:00:00,17436802
2021-12-30 03:00:00,17441702
2022-01-06 03:00:00,17447182
2022-01-13 03:00:00,17454165
2022-01-20 03:00:00,17474291
2022-01-27 03:00:00,17475756
2022-02-03 03:00:00,17480367
2022-02-10 03:00:00,17485584
2022-02-17 03:00:00,17487701
2022-02-24 03:00:00,17538667
2022-03-03 03:00:00,17543856
2022-03-10 03:00:00,17546343
2022-03-17 03:00:00,17554547
2022-03-24 03:00:00,17565952
2022-03-31 03:00:00,17570537
2022-04-07 03:00:00,17575662
2022-04-14 03:00:00,17579751
2022-04-21 03:00:00,17585659
2022-04-28 03:00:00,17589150
2022-05-05 03:00:00,17596325
2022-05-12 03:00:00,17601107
2022-05-19 03:00:00,17648025
2022-05-26 03:00:00,17648359
2022-06-02 03:00:00,17654127
2022-06-09 03:00:00,17658273
2022-06-16 03:00:00,17897443
2022-06-23 03:00:00,17916115
2022-06-30 03:00:00,17950561
2022-07-07 03:00:00,17973938
2022-07-14 03:00:00,17979501
2022-07-21 03:00:00,17981705
2022-07-28 03:00:00,17988133
2022-08-04 03:00:00,17989757
2022-08-11 03:00:00,18002442
2022-08-18 03:00:00,18021022
2022-08-25 03:00:00,18022530
2022-09-01 03:00:00,18027273
2022-09-08 03:00:00,18032502
2022-09-15 03:00:00,18041753
2022-09-22 03:00:00,18047184
2022-09-29 03:00:00,18051576
2022-10-06 03:00:00,18058250
2022-10-13 03:00:00,18059130
2022-10-20 03:00:00,18071670
2022-10-27 03:00:00,18075816
2022-11-03 03:00:00,18078644
2022-11-10 03:00:00,18086412
2022-11-17 03:00:00,18091946
2022-11-24 03:00:00,18419263
2022-12-01 03:00:00,18422124
2022-12-08 03:00:00,18425174
2022-12-15 03:00:00,18444958
2022-12-22 03:00:00,18448922
2022-12-29 03:00:00,18467717
2023-01-05 03:00:00,18470416
2023-01-12 03:00:00,18475792
2023-01-19 03:00:00,18477680
2023-01-26 03:00:00,18487605
2023-02-02 03:00:00,18494301
2023-02-09 03:00:00,18501375
2023-02-16 03:00:00,18520110
2023-02-23 03:00:00,18522594
2023-03-02 03:00:00,18536839
2023-03-09 03:00:00,18537498
2023-03-16 03:00:00,18557707
2023-03-23 03:00:00,18562227
2023-03-30 03:00:00,18566857
2023-04-06 03:00:00,18569949
2023-04-13 03:00:00,18573447
2023-04-20 03:00:00,18590511
2023-04-27 03:00:00,18595346
2023-05-04 03:00:00,18645600
2023-05-11 03:00:00,18686524
2023-05-18 03:00:00,18703843
2023-05-25 03:00:00,18730533
2023-06-01 03:00:00,18736553
2023-06-08 03:00:00,18780353
2023-06-15 03:00:00,18790223
2023-06-22 03:00:00,18814682
2023-06-29 03:00:00,18824812
2023-07-06 03:00:00,18826103
2023-07-13 03:00:00,18854572
2023-07-20 03:00:00,18861403
2023-07-27 03:00:00,18865484
2023-08-03 03:00:00,18871859
2023-08-10 03:00:00,18878666
2023-08-17 03:00:00,18881024
2023-08-24 03:00:00,19108793
2023-08-31 03:00:00,19171350
2023-09-07 03:00:00,19174861
2023-09-14 03:00:00,19187428
2023-09-21 03:00:00,19199748
2023-09-28 03:00:00,19204115
2023-10-05 03:00:00,19205902
2023-10-12 03:00:00,19209352
2023-10-19 03:00:00,19214622
2023-10-26 03:00:00,19223526
2023-11-02 03:00:00,19226029
2023-11-09 03:00:00,19235565
2023-11-16 03:00:00,19241762
2023-11-23 03:00:00,19247799
2023-11-30 03:00:00,19265201
2023-12-07 03:00:00,19273867
2023-12-14 03:00:00,19276977
2023-12-21 03:00:00,19293375
2023-12-28 03:00:00,19298719
2024-01-04 03:00:00,19341152
2024-01-11 03:00:00,19350207
2024-01-18 03:00:00,19364699
2024-01-25 03:00:00,19393887
2024-02-01 03:00:00,19406960
